dataset,filename,HBOS,CBLOF,LOF,COPOD,PCC,AutoEncoder (AE),DenoisingAutoEncoder (DAE),RobustPCA,Random Black Forest (RR),Torsk,Avg Ens.
settings_five,synthetic_batch_114.out,0.1275,4.920477,1.179724,0.129872,0.287305,0.230858,0.255755,0.233241,0.237863,24.453287,32.055882
settings_five,synthetic_batch_115.out,0.120484,5.132883,1.089304,0.138417,0.309915,0.236122,0.231094,0.197744,0.20931,22.306511,29.971784
settings_five,synthetic_batch_116.out,0.124359,4.600419,1.103939,0.136362,0.31934,0.237384,0.235397,0.182299,0.241346,24.063244,31.244089000000002
settings_five,synthetic_batch_117.out,0.119336,5.043181,1.092298,0.135103,0.29658,0.23509,0.269416,0.194859,0.210326,23.227466,30.823655
settings_five,synthetic_batch_118.out,0.12018,4.284851,1.100207,0.134803,0.334098,0.233624,0.253825,0.219113,0.232478,25.150642,32.063821000000004
settings_five,synthetic_batch_119.out,0.12009,4.611163,1.166663,0.156296,0.292479,0.234622,0.236378,0.163149,0.224219,23.846483,31.051541999999998
settings_five,synthetic_batch_120.out,0.119147,4.943451,1.111614,0.140196,0.296505,0.248031,0.23398,0.198943,0.229953,23.331147,30.852967
settings_five,synthetic_batch_121.out,0.122297,5.147719,1.105712,0.13987,0.287819,0.23959,0.25416,0.183643,0.22787,25.72718,33.43586
settings_five,synthetic_batch_122.out,0.120195,4.441341,1.097867,0.198195,0.284396,0.238181,0.239809,0.1846,0.227303,22.832129,29.864016
settings_five,synthetic_batch_123.out,0.119832,4.8259,1.093579,0.175131,0.307963,0.234552,0.231525,0.283971,0.212428,23.134005,30.618886
settings_five,synthetic_batch_124.out,0.120709,4.864036,1.106244,0.468009,0.290794,0.238553,0.239675,0.272266,0.219781,25.024923,32.84499
settings_five,synthetic_batch_125.out,0.119487,4.625748,1.094823,0.138939,0.279063,0.249745,0.231565,0.170881,0.226876,23.440704,30.577831
settings_five,synthetic_batch_126.out,0.119888,5.354305,1.095492,0.136469,0.294885,0.25456,0.229239,0.176698,0.218026,24.756832,32.636393999999996
settings_five,synthetic_batch_127.out,0.126026,4.591897,1.116676,0.140883,0.292656,0.249988,0.231673,0.255506,0.23064,22.503729,29.739674
settings_five,synthetic_batch_128.out,0.120219,4.880281,1.102031,0.133065,0.297336,0.275993,0.230436,0.207783,0.236857,22.555994,30.039994999999998
settings_five,synthetic_batch_129.out,0.122757,4.457947,1.092864,0.131801,0.2884,0.249657,0.232598,0.15133,0.233591,23.681089,30.642034
settings_five,synthetic_batch_130.out,0.122581,4.780715,1.10056,0.132719,0.289129,0.241932,0.228836,0.189163,0.221869,21.953699,29.261203000000002
settings_five,synthetic_batch_131.out,0.126485,4.913726,1.106668,0.138122,0.284813,0.262851,0.229879,0.263283,0.239167,23.575858,31.140852
settings_five,synthetic_batch_132.out,0.120515,5.333206,1.092196,0.131037,0.322416,0.288074,0.228101,0.269569,0.222071,23.037333,31.044518
settings_five,synthetic_batch_133.out,0.118976,4.702469,1.095193,0.13062,0.311325,0.258375,0.233994,0.235067,0.216241,22.650828,29.953088
settings_five,synthetic_batch_134.out,0.119201,5.441064,1.097441,0.132943,0.296718,0.250274,0.230632,0.167802,0.356142,23.856785,31.949002
settings_five,synthetic_batch_135.out,0.12905,4.743544,1.099212,0.131135,0.294798,0.322769,0.227821,0.186169,0.231204,53.402364,60.768066
settings_five,synthetic_batch_136.out,0.127506,5.39619,1.08871,0.132807,0.288596,0.283723,0.231903,0.221728,0.231731,33.446407,41.449301
settings_five,synthetic_batch_137.out,0.122817,4.808696,1.090231,0.132841,0.28403,0.277017,0.231533,0.191971,0.254757,25.196701,32.590594
settings_five,synthetic_batch_138.out,0.120698,5.213429,1.088754,0.133029,0.283923,0.275281,0.236566,0.228458,0.218075,27.340953,35.139165999999996
settings_five,synthetic_batch_139.out,0.119485,4.989756,1.093517,0.133228,0.314329,0.240825,0.23083,0.156093,0.209369,27.310792,34.798224
settings_five,synthetic_batch_140.out,0.123589,5.811907,1.101398,0.133087,0.286274,0.238904,0.230156,0.179748,0.219761,25.879453,34.204277000000005
settings_five,synthetic_batch_141.out,0.12121,5.199624,1.182963,0.132301,0.335544,0.240778,0.229828,0.190167,0.219924,26.360152,34.212491
settings_five,synthetic_batch_142.out,0.119816,4.776511,1.163415,0.148674,0.293854,0.275043,0.236249,0.178617,0.209222,25.994447,33.395848
